Total executions were 0
Acc spinsvar is, 12.889, 0.745, 22.611, 0.739, 0.745, 0.726, 0.871, inf, 5.433, 0.000, nan, nan, nan
Std spinsvar is, 7.871, 0.164, 9.900, 0.088, 0.164, 0.092, 0.082, nan, 0.648, 0.000, nan, nan, nan
Acc sparserc is, 9.917, 0.681, 16.722, 0.857, 0.681, 0.739, 0.840, inf, 9.741, 0.000, nan, nan, nan
Std sparserc is, 8.223, 0.226, 6.632, 0.086, 0.226, 0.177, 0.113, nan, 1.214, 0.000, nan, nan, nan
Acc varlingam is, 19.250, 0.800, 32.167, 0.575, 0.800, 0.648, 0.897, inf, 1.635, 0.000, nan, nan, nan
Std varlingam is, 10.641, 0.137, 16.129, 0.128, 0.137, 0.060, 0.068, nan, 0.103, 0.000, nan, nan, nan
Acc d_varlingam is, 15.306, 0.742, 24.722, 0.662, 0.742, 0.679, 0.869, inf, 4.851, 0.000, nan, nan, nan
Std d_varlingam is, 9.385, 0.186, 11.671, 0.094, 0.186, 0.088, 0.093, nan, 0.308, 0.000, nan, nan, nan
Acc culingam is, 15.222, 0.620, 20.167, 0.675, 0.620, 0.630, 0.809, inf, 12.881, 0.000, nan, nan, nan
Std culingam is, 8.443, 0.158, 8.546, 0.113, 0.158, 0.103, 0.079, nan, 0.420, 0.000, nan, nan, nan
Acc dynotears is, 33.917, 0.731, 43.500, 0.364, 0.731, 0.473, 0.860, inf, 112.912, 0.000, nan, nan, nan
Std dynotears is, 9.089, 0.115, 9.743, 0.097, 0.115, 0.093, 0.058, nan, 29.589, 0.000, nan, nan, nan
Acc nts-notears is, 57.833, 0.000, 35.889, 0.000, 0.000, 0.000, 0.493, nan, 16.397, 0.000, nan, nan, nan
Std nts-notears is, 37.218, 0.000, 36.117, 0.000, 0.000, 0.000, 0.007, nan, 14.446, 0.000, nan, nan, nan
Acc tsfci is, 21.944, 0.000, 0.000, 0.000, 0.000, 0.000, 0.500, nan, 17.503, 0.000, nan, nan, nan
Std tsfci is, 9.520, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, nan, 12.823, 0.000, nan, nan, nan
Acc pcmci is, 361.694, 0.891, 436.333, 0.047, 0.891, 0.088, 0.862, inf, 16.226, 0.000, nan, nan, nan
Std pcmci is, 67.803, 0.110, 89.107, 0.019, 0.110, 0.034, 0.065, nan, 4.686, 0.000, nan, nan, nan
Acc TCDF is, 19.056, 0.740, 30.389, 0.550, 0.740, 0.624, 0.867, inf, 33.564, 0.000, nan, nan, nan
Std TCDF is, 10.176, 0.130, 11.790, 0.104, 0.130, 0.091, 0.065, nan, 1.006, 0.000, nan, nan, nan
